title,season,schedule,placeName,placeLink,duration,classification/image,image,placeTitle,address,price,placeSeats,Valor do show (80%)
4 Amigos - Gravação do Especial Fila de Piadas,Estreia dia 6 de Maio (sábado). até 7 de Maio,"Sábado, às 21h e às 23h59; Domingo, às 17h e às 20h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Vibra São Paulo",https://www.sampaingressos.com.br/local/Vibra%20S%C3%A3o%20Paulo__1000131,1h com possibilidade de estender por mais tempo.,https://www.sampaingressos.com.br/templates/images/18anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123603.jpg,Vibra São Paulo (7000 lugares),"Avenida das Nações Unidas, 17955 - Vila Almeida","R$ 50,00",7000,"R$ 280.000,00"
Escola da Comédia Show,Sessão única hoje (quinta),"Quinta, às 21h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Clube Barbixas de Comédia",https://www.sampaingressos.com.br/local/Clube%20Barbixas%20de%20Com%C3%A9dia__2925,"<img width=""18"" src=""/templates/images/18anos.svg"" class=""img_classificacao"">18 anos",https://www.sampaingressos.com.br/templates/images/18anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_123928.jpg,Clube Barbixas de Comédia (280 lugares),"R. Augusta, 1129 - Consolação","R$ 25,00",280,"R$ 5.600,00"
Nando Viana - Como faz para ficar aqui?,até 26 de Maio,"Sextas, às 22h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Teatro Morumbi Shopping",https://www.sampaingressos.com.br/local/Teatro%20Morumbi%20Shopping__1892,70 minutos.,https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_122755.jpg,Teatro Morumbi Shopping (250 lugares),"Av. Roque Petroni Júnior, 1089 - Piso G1 do Shopping - Morumbi","R$ 35,00",250,"R$ 7.000,00"
Comédia ao Vivo,até 27 de Maio,"Sextas e Sábados, às 23h59","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Teatro Renaissance",https://www.sampaingressos.com.br/local/Teatro%20Renaissance__47,80 minutos.,https://www.sampaingressos.com.br/templates/images/16anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_82977.jpg,Teatro Renaissance (440 lugares),"Alameda Santos, 2233 - Cerqueira César","R$ 49,00",440,"R$ 17.248,00"
Diogo Portugal Stand-up Comedy,até 29 de Abril,"Sábados, às 21h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Comedy Sampa Club",https://www.sampaingressos.com.br/local/Comedy%20Sampa%20Club__2555,80 minutos.,https://www.sampaingressos.com.br/templates/images/16anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_115070.jpg,Comedy Sampa Club,"Rua Domingos de Morais, 348 - Vila Mariana","R$ 31,90",500,"R$ 12.760,00"
Fábio Rabin - Muita Treta,até 27 de Maio,"Sábados, às 22h30","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Teatro Opus Frei Caneca",https://www.sampaingressos.com.br/local/Teatro%20Opus%20Frei%20Caneca__60,90 minutos.,https://www.sampaingressos.com.br/templates/images/16anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_114720.jpg,Teatro Opus Frei Caneca,"Rua Frei Caneca, 569 - Shopping Frei Caneca, 7° andar - Bela Vista","R$ 59,00",600,"R$ 28.320,00"
Oscar Filho em Alto-Biografia Não Autorizada,até 27 de Maio,"Sábados, às 21h30","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Teatro Morumbi Shopping",https://www.sampaingressos.com.br/local/Teatro%20Morumbi%20Shopping__1892,60 minutos.,https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_115720.jpg,Teatro Morumbi Shopping (250 lugares),"Av. Roque Petroni Júnior, 1089 - Piso G1 do Shopping - Morumbi","R$ 29,90",250,"R$ 5.980,00"
Afonso Padilha Stand-up Comedy,até 29 de Junho,"Quintas, às 21h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Comedy Sampa Club",https://www.sampaingressos.com.br/local/Comedy%20Sampa%20Club__2555,80 minutos.,https://www.sampaingressos.com.br/templates/images/16anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_115187.jpg,Comedy Sampa Club,"Rua Domingos de Morais, 348 - Vila Mariana","R$ 49,90",500,"R$ 19.960,00"
Bruno Motta e convidados - Zoando a semana,até 28 de Junho,"Quartas, às 21h30","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Bixiga Comedy Club",https://www.sampaingressos.com.br/local/Bixiga%20Comedy%20Club__2842,"<img width=""18"" src=""/templates/images/14anos.svg"" class=""img_classificacao"">14 anos",https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_120142.jpg,Bixiga Comedy Club,"Rua Rui Barbosa, 574 - Bela Vista","R$ 9,90",100,"R$ 792,00"
Date Ruim - Stand-up Comedy,até 29 de Junho,"Quintas, às 20h","<img src=""/templates/images/icon_pin_traced.svg"" class=""icon_pin"">Bixiga Comedy Club",https://www.sampaingressos.com.br/local/Bixiga%20Comedy%20Club__2842,70 minutos,https://www.sampaingressos.com.br/templates/images/14anos.svg,https://sampaingressos.com.br/fotosEspetaculos/foto_120678.jpg,Bixiga Comedy Club,"Rua Rui Barbosa, 574 - Bela Vista","R$ 20,00",100,"R$ 1.600,00"
